game_id,Team,Date,SeasonEnd,Type,Place,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,TF,PTS,OppPTS,has_lines,favorite,ML,Spread,Total
34,Indiana,2010-11-21,2011,REG,H,24,45,0.533,20,35,0.571,4,10,0.4,15,28,0.536,9,19,28,10,10,7,15,20,67,54,True,1.0,-850.0,-12.0,134.0
35,Indiana,2010-11-23,2011,REG,H,24,58,0.414,19,40,0.475,5,18,0.278,19,25,0.76,12,21,33,13,8,6,13,14,72,56,False,,,,
36,Indiana,2010-11-26,2011,REG,H,36,64,0.563,28,45,0.622,8,19,0.421,20,28,0.714,14,30,44,23,11,4,15,25,100,66,False,,,,
37,Indiana,2010-12-01,2011,REG,A,28,55,0.509,21,33,0.636,7,22,0.318,13,20,0.65,11,13,24,15,4,2,10,20,76,88,True,0.0,205.0,6.0,130.0
38,Indiana,2010-12-04,2011,REG,H,26,47,0.553,20,33,0.606,6,14,0.429,21,30,0.7,8,27,35,13,7,5,19,16,79,57,True,1.0,-4625.0,-21.0,123.0
39,Indiana,2010-12-11,2011,REG,A,23,54,0.426,19,38,0.5,4,16,0.25,12,16,0.75,5,27,32,12,3,5,14,31,62,81,True,0.0,750.0,13.0,142.0
40,Indiana,2010-12-17,2011,REG,H,32,52,0.615,23,36,0.639,9,16,0.563,15,20,0.75,4,30,34,18,10,2,17,18,88,54,False,,,,
41,Indiana,2010-12-19,2011,REG,H,35,63,0.556,25,41,0.61,10,22,0.455,22,30,0.733,12,23,35,24,10,2,8,13,102,60,False,,,,
42,Indiana,2010-12-22,2011,REG,N,20,47,0.426,18,34,0.529,2,13,0.154,19,29,0.655,7,21,28,9,7,2,14,20,61,67,True,1.0,-186.0,-4.0,120.0
43,Indiana,2010-12-23,2011,REG,N,24,59,0.407,19,45,0.422,5,14,0.357,16,25,0.64,16,14,30,9,8,2,12,22,69,78,True,1.0,-144.0,-3.0,152.0
44,Indiana,2010-12-27,2011,REG,H,23,54,0.426,14,34,0.412,9,20,0.45,5,8,0.625,9,16,25,13,5,1,9,21,60,69,True,1.0,-280.0,-7.0,133.0
45,Indiana,2010-12-31,2011,REG,H,25,50,0.5,16,26,0.615,9,24,0.375,8,14,0.571,4,16,20,13,4,1,14,30,67,85,True,0.0,802.0,13.0,137.0
46,Indiana,2011-01-04,2011,REG,A,23,61,0.377,16,41,0.39,7,20,0.35,10,12,0.833,10,16,26,12,9,5,6,20,63,67,True,0.0,389.0,9.0,137.0
47,Indiana,2011-01-09,2011,REG,A,27,58,0.466,21,44,0.477,6,14,0.429,21,25,0.84,11,19,30,18,2,7,13,29,81,93,True,0.0,240.0,7.0,141.0
48,Indiana,2011-01-15,2011,REG,H,29,43,0.674,23,29,0.793,6,14,0.429,16,20,0.8,5,28,33,11,2,2,16,21,80,61,True,1.0,-140.0,-3.0,128.0
49,Indiana,2011-01-20,2011,REG,A,25,49,0.51,23,42,0.548,2,7,0.286,8,11,0.727,5,19,24,4,2,1,7,17,60,69,True,0.0,900.0,14.0,127.0
50,Indiana,2011-01-23,2011,REG,A,26,70,0.371,18,43,0.419,8,27,0.296,17,20,0.85,15,19,34,16,9,1,14,29,77,91,True,0.0,110.0,2.0,138.0
51,Indiana,2011-01-27,2011,REG,H,18,48,0.375,13,33,0.394,5,15,0.333,11,11,1.0,8,20,28,6,5,4,13,13,52,49,True,0.0,180.0,4.0,145.0
52,Indiana,2011-01-30,2011,REG,A,29,59,0.492,18,38,0.474,11,21,0.524,14,22,0.636,7,23,30,14,4,2,13,22,83,84,True,0.0,525.0,11.0,135.0
53,Indiana,2011-02-02,2011,REG,H,21,53,0.396,16,29,0.552,5,24,0.208,13,15,0.867,11,22,33,9,7,0,9,20,60,57,True,0.0,143.0,3.0,137.0
54,Indiana,2011-02-05,2011,REG,H,22,53,0.415,17,39,0.436,5,14,0.357,14,17,0.824,6,16,22,6,7,0,11,21,63,64,True,1.0,-239.0,-6.0,139.0
55,Indiana,2011-02-08,2011,REG,A,22,62,0.355,20,49,0.408,2,13,0.154,7,7,1.0,8,20,28,9,9,2,13,22,53,67,True,0.0,825.0,14.0,137.0
56,Indiana,2011-02-12,2011,REG,A,26,55,0.473,22,39,0.564,4,16,0.25,13,22,0.591,8,24,32,12,5,3,13,30,69,73,True,0.0,257.0,7.0,131.0
57,Indiana,2011-02-19,2011,REG,H,23,46,0.5,19,33,0.576,4,13,0.308,14,19,0.737,8,17,25,10,6,1,12,22,64,70,True,1.0,-147.0,-3.0,140.0
58,Indiana,2011-02-23,2011,REG,H,19,50,0.38,11,31,0.355,8,19,0.421,15,20,0.75,11,20,31,7,7,0,11,22,61,72,True,0.0,225.0,6.0,138.0
59,Indiana,2011-02-27,2011,REG,A,20,52,0.385,14,31,0.452,6,21,0.286,15,20,0.75,7,21,28,11,2,0,13,25,61,82,True,0.0,1565.0,17.0,137.0
60,Indiana,2011-03-03,2011,REG,H,22,47,0.468,20,36,0.556,2,11,0.182,21,26,0.808,7,16,23,5,0,0,5,19,67,77,True,0.0,260.0,7.0,127.0
61,Indiana,2011-03-05,2011,REG,A,18,57,0.316,15,40,0.375,3,17,0.176,9,11,0.818,7,18,25,6,3,2,10,13,48,72,True,0.0,444.0,10.0,139.0
62,Indiana,2011-03-10,2011,CTOURN,N,22,45,0.489,18,27,0.667,4,18,0.222,7,11,0.636,4,15,19,13,10,4,9,19,55,61,True,0.0,190.0,5.0,129.0
63,Indiana,2011-11-11,2012,REG,H,34,52,0.654,27,38,0.711,7,14,0.5,21,24,0.875,8,23,31,21,9,2,14,14,96,66,False,,,,
64,Indiana,2011-11-13,2012,REG,H,25,50,0.5,18,32,0.563,7,18,0.389,21,31,0.677,6,28,34,12,15,7,18,19,78,53,True,1.0,-2000.0,-18.0,153.0
65,Indiana,2011-11-16,2012,REG,A,33,59,0.559,22,38,0.579,11,21,0.524,17,25,0.68,7,28,35,24,7,5,12,22,94,73,True,1.0,-285.0,-7.0,143.0
66,Indiana,2011-11-19,2012,REG,H,28,49,0.571,25,43,0.581,3,6,0.5,35,47,0.745,9,18,27,16,8,1,9,25,94,65,False,,,,
67,Indiana,2011-11-21,2012,REG,H,29,59,0.492,26,41,0.634,3,18,0.167,12,23,0.522,14,27,41,19,5,1,13,19,73,49,False,,,,
68,Indiana,2011-11-27,2012,REG,H,19,47,0.404,11,34,0.324,8,13,0.615,29,36,0.806,11,18,29,9,14,6,16,18,75,59,True,1.0,-1205.0,-14.0,132.0
69,Indiana,2011-11-30,2012,REG,A,30,62,0.484,23,49,0.469,7,13,0.538,19,23,0.826,12,22,34,8,10,4,13,20,86,75,True,1.0,-135.0,-2.0,149.0
70,Indiana,2011-12-04,2012,REG,H,34,66,0.515,29,53,0.547,5,13,0.385,11,14,0.786,8,25,33,20,13,7,9,10,84,50,False,,,,
71,Indiana,2011-12-10,2012,REG,H,25,58,0.431,16,43,0.372,9,15,0.6,14,17,0.824,12,16,28,12,7,2,18,16,73,72,True,0.0,210.0,6.0,146.0
72,Indiana,2011-12-17,2012,REG,N,24,57,0.421,21,50,0.42,3,7,0.429,18,22,0.818,12,21,33,9,4,2,11,25,69,58,True,1.0,-525.0,-9.0,141.0
73,Indiana,2011-12-19,2012,REG,H,35,52,0.673,24,32,0.75,11,20,0.55,26,37,0.703,5,29,34,27,9,2,8,12,107,50,True,1.0,-26000.0,-29.0,140.0
74,Indiana,2011-12-22,2012,REG,H,26,55,0.473,15,28,0.536,11,27,0.407,26,37,0.703,12,27,39,19,12,3,15,15,89,47,False,,,,
75,Indiana,2011-12-28,2012,REG,A,27,64,0.422,21,47,0.447,6,17,0.353,5,9,0.556,12,18,30,10,4,3,13,18,65,80,True,0.0,230.0,6.0,141.0
76,Indiana,2011-12-31,2012,REG,H,27,59,0.458,22,46,0.478,5,13,0.385,15,22,0.682,8,18,26,6,7,4,11,20,74,70,True,0.0,210.0,5.0,140.0
77,Indiana,2012-01-05,2012,REG,H,27,49,0.551,20,38,0.526,7,11,0.636,12,19,0.632,5,23,28,15,5,6,15,15,73,71,True,1.0,-360.0,-8.0,138.0
78,Indiana,2012-01-08,2012,REG,A,24,47,0.511,8,23,0.348,16,24,0.667,24,32,0.75,4,23,27,17,5,3,16,23,88,82,True,1.0,-270.0,-6.0,129.0
79,Indiana,2012-01-12,2012,REG,H,24,55,0.436,20,37,0.541,4,18,0.222,22,25,0.88,12,20,32,6,6,5,15,19,74,77,True,1.0,-505.0,-10.0,138.0
80,Indiana,2012-01-15,2012,REG,A,24,55,0.436,17,34,0.5,7,21,0.333,8,11,0.727,8,18,26,12,4,2,16,19,63,80,True,0.0,790.0,13.0,143.0
81,Indiana,2012-01-18,2012,REG,A,26,51,0.51,18,33,0.545,8,18,0.444,9,13,0.692,5,28,33,17,3,2,14,12,69,70,True,1.0,-170.0,-4.0,131.0
82,Indiana,2012-01-22,2012,REG,H,24,45,0.533,17,29,0.586,7,16,0.438,18,23,0.783,7,23,30,10,5,6,9,25,73,54,True,1.0,-1335.0,-14.0,137.0
83,Indiana,2012-01-26,2012,REG,A,21,46,0.457,18,38,0.474,3,8,0.375,5,10,0.5,6,18,24,4,3,1,10,18,50,57,True,0.0,310.0,8.0,128.0
84,Indiana,2012-01-29,2012,REG,H,37,67,0.552,33,51,0.647,4,16,0.25,25,31,0.806,18,17,35,20,7,5,13,17,103,89,True,1.0,-765.0,-12.0,152.0
85,Indiana,2012-02-01,2012,REG,A,21,47,0.447,16,33,0.485,5,14,0.357,9,13,0.692,7,22,29,9,1,0,14,17,56,68,True,0.0,160.0,5.0,136.0
86,Indiana,2012-02-04,2012,REG,A,23,55,0.418,20,45,0.444,3,10,0.3,29,35,0.829,12,32,44,10,1,7,11,17,78,61,True,0.0,145.0,4.0,141.0
87,Indiana,2012-02-09,2012,REG,H,21,42,0.5,14,30,0.467,7,12,0.583,35,42,0.833,5,20,25,15,6,3,10,16,84,71,True,1.0,-260.0,-6.0,136.0
88,Indiana,2012-02-15,2012,REG,H,27,55,0.491,25,42,0.595,2,13,0.154,15,18,0.833,10,19,29,16,7,2,8,15,71,66,True,1.0,-425.0,-9.0,147.0
89,Indiana,2012-02-19,2012,REG,A,20,53,0.377,14,37,0.378,6,16,0.375,20,26,0.769,11,22,33,13,2,4,14,19,66,78,True,1.0,-170.0,-4.0,152.0
