,Player,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Starter,game_id,TEAM
10,School Totals,200,25,62,.403,19,35,.543,6,27,.222,18,22,.818,10,24,34,14,6,1,7,20,74,False,286,Indiana
13,School Totals,200,23,53,.434,15,30,.500,8,23,.348,12,22,.545,6,28,34,17,9,4,11,14,66,False,287,Indiana
11,School Totals,200,20,59,.339,12,33,.364,8,26,.308,9,14,.643,8,19,27,9,4,2,9,18,57,False,288,Indiana
10,School Totals,200,28,56,.500,22,38,.579,6,18,.333,9,16,.563,4,23,27,12,10,8,12,18,71,False,289,Indiana
10,School Totals,200,25,44,.568,20,29,.690,5,15,.333,16,29,.552,5,22,27,15,7,4,17,25,71,False,290,Indiana
9,School Totals,200,27,54,.500,24,38,.632,3,16,.188,10,17,.588,7,23,30,10,3,2,10,16,67,False,291,Indiana
9,School Totals,200,20,55,.364,14,36,.389,6,19,.316,10,18,.556,9,15,24,11,5,0,7,13,56,False,292,Indiana
10,School Totals,200,19,66,.288,15,47,.319,4,19,.211,18,25,.720,21,28,49,13,6,2,8,18,60,False,293,Indiana
12,School Totals,200,24,55,.436,15,35,.429,9,20,.450,8,18,.444,8,29,37,14,5,7,13,23,65,False,294,Indiana
13,School Totals,200,30,53,.566,24,37,.649,6,16,.375,14,23,.609,6,28,34,21,9,6,12,15,80,False,295,Indiana
10,School Totals,200,26,44,.591,20,30,.667,6,14,.429,20,29,.690,5,26,31,14,9,6,18,23,78,False,296,Indiana
10,School Totals,200,32,57,.561,18,33,.545,14,24,.583,6,9,.667,4,15,19,23,7,2,10,19,84,False,297,Indiana
10,School Totals,200,24,53,.453,21,39,.538,3,14,.214,6,9,.667,11,22,33,10,6,3,17,20,57,False,298,Indiana
10,School Totals,250,29,65,.446,22,49,.449,7,16,.438,13,23,.565,11,20,31,16,7,3,12,13,78,False,299,Indiana
10,School Totals,200,19,53,.358,13,29,.448,6,24,.250,25,29,.862,8,18,26,12,6,2,11,19,69,False,300,Indiana
15,School Totals,200,39,69,.565,32,48,.667,7,21,.333,19,33,.576,13,35,48,20,12,5,13,19,104,False,301,Indiana
17,School Totals,200,32,57,.561,26,36,.722,6,21,.286,10,19,.526,8,32,40,22,10,5,14,17,80,False,302,Indiana
14,School Totals,200,35,55,.636,26,35,.743,9,20,.450,17,23,.739,5,30,35,18,7,5,12,26,96,False,303,Indiana
9,School Totals,200,27,58,.466,19,38,.500,8,20,.400,10,15,.667,7,28,35,13,4,1,17,20,72,False,304,Indiana
8,School Totals,200,30,55,.545,28,43,.651,2,12,.167,16,23,.696,9,23,32,17,7,4,18,12,78,False,305,Indiana
9,School Totals,200,26,49,.531,16,32,.500,10,17,.588,14,21,.667,8,14,22,11,3,3,14,9,76,False,306,Indiana
13,School Totals,200,25,64,.391,20,48,.417,5,16,.313,14,25,.560,12,21,33,13,5,5,20,20,69,False,307,Indiana
10,School Totals,200,27,49,.551,24,38,.632,3,11,.273,11,19,.579,3,22,25,9,7,5,13,16,68,False,308,Indiana
11,School Totals,200,23,55,.418,16,37,.432,7,18,.389,11,14,.786,6,35,41,12,6,5,16,21,64,False,309,Indiana
10,School Totals,200,24,49,.490,20,35,.571,4,14,.286,16,25,.640,1,28,29,10,6,2,10,13,68,False,310,Indiana
10,School Totals,200,27,52,.519,18,31,.581,9,21,.429,8,10,.800,6,23,29,18,5,6,15,12,71,False,311,Indiana
16,School Totals,200,36,64,.563,27,40,.675,9,24,.375,5,10,.500,6,36,42,25,7,6,12,9,86,False,312,Indiana
14,School Totals,200,35,54,.648,27,34,.794,8,20,.400,16,26,.615,3,28,31,21,6,7,12,19,94,False,313,Indiana
10,School Totals,200,23,48,.479,21,36,.583,2,12,.167,25,35,.714,11,18,29,9,13,5,14,17,73,False,314,Indiana
9,School Totals,200,23,54,.426,18,40,.450,5,14,.357,12,16,.750,9,23,32,6,1,1,7,14,63,False,315,Indiana
10,School Totals,200,26,53,.491,19,36,.528,7,17,.412,16,16,1.000,3,21,24,11,2,1,7,21,75,False,316,Indiana
11,School Totals,200,19,52,.365,17,38,.447,2,14,.143,11,19,.579,8,21,29,7,9,6,13,12,51,False,317,Indiana
11,School Totals,200,22,51,.431,18,31,.581,4,20,.200,7,18,.389,9,23,32,12,7,6,13,15,55,False,318,Indiana
11,School Totals,200,23,60,.383,19,39,.487,4,21,.190,16,21,.762,10,25,35,15,1,4,12,22,66,False,319,Indiana
9,School Totals,200,16,58,.276,13,38,.342,3,20,.150,11,20,.550,10,27,37,4,6,4,9,15,46,False,320,Indiana
11,School Totals,200,21,60,.350,15,37,.405,6,23,.261,10,13,.769,7,23,30,7,10,4,11,24,58,False,321,Indiana
12,School Totals,225,28,72,.389,18,52,.346,10,20,.500,13,19,.684,14,28,42,21,3,7,11,21,79,False,322,Indiana
11,School Totals,200,26,53,.491,19,32,.594,7,21,.333,13,18,.722,8,22,30,17,7,3,12,15,72,False,323,Indiana
10,School Totals,200,21,53,.396,15,33,.455,6,20,.300,4,7,.571,6,20,26,11,8,1,9,12,52,False,324,Indiana
11,School Totals,200,20,53,.377,18,36,.500,2,17,.118,21,28,.750,7,23,30,8,7,10,12,19,63,False,325,Indiana
9,School Totals,200,15,55,.273,10,30,.333,5,25,.200,11,18,.611,14,29,43,7,3,5,16,12,46,False,326,Indiana
12,School Totals,225,26,63,.413,20,36,.556,6,27,.222,12,22,.545,12,24,36,10,9,8,11,21,70,False,327,Indiana
11,School Totals,250,26,64,.406,20,44,.455,6,20,.300,17,27,.630,10,34,44,11,7,4,12,24,75,False,328,Indiana
10,School Totals,200,23,61,.377,14,37,.378,9,24,.375,8,13,.615,12,16,28,14,10,2,8,10,63,False,329,Indiana
12,School Totals,200,36,65,.554,29,45,.644,7,20,.350,13,18,.722,10,21,31,17,6,3,6,18,92,False,330,Indiana
17,School Totals,200,31,58,.534,27,40,.675,4,18,.222,23,29,.793,6,26,32,12,6,3,5,25,89,False,331,Indiana
11,School Totals,200,27,62,.435,16,35,.457,11,27,.407,10,15,.667,9,19,28,18,9,6,17,18,75,False,332,Indiana
15,School Totals,200,35,68,.515,29,47,.617,6,21,.286,13,23,.565,10,30,40,18,4,4,7,15,89,False,333,Indiana
9,School Totals,200,21,51,.412,15,29,.517,6,22,.273,15,24,.625,8,27,35,13,6,4,12,17,63,False,334,Indiana
9,School Totals,200,25,65,.385,19,47,.404,6,18,.333,7,13,.538,6,24,30,12,7,4,9,16,63,False,335,Indiana
16,School Totals,200,38,65,.585,33,54,.611,5,11,.455,17,25,.680,14,31,45,18,6,6,11,12,98,False,336,Indiana
10,School Totals,199,30,60,.500,27,46,.587,3,14,.214,22,30,.733,14,23,37,11,4,4,10,22,85,False,337,Indiana
11,School Totals,200,23,46,.500,15,25,.600,8,21,.381,37,45,.822,7,20,27,12,6,9,13,23,91,False,338,Indiana
13,School Totals,200,35,65,.538,26,42,.619,9,23,.391,21,30,.700,15,32,47,21,11,6,12,25,100,False,339,Indiana
13,School Totals,200,31,55,.564,28,45,.622,3,10,.300,14,17,.824,6,24,30,19,8,2,8,13,79,False,340,Indiana
11,School Totals,200,27,56,.482,21,37,.568,6,19,.316,28,38,.737,9,27,36,13,7,4,17,15,88,False,341,Indiana
11,School Totals,200,24,58,.414,17,38,.447,7,20,.350,9,18,.500,16,28,44,12,6,7,17,15,64,False,342,Indiana
11,School Totals,200,25,45,.556,18,30,.600,7,15,.467,23,38,.605,10,23,33,10,5,4,18,19,80,False,343,Indiana
12,School Totals,200,21,50,.420,16,36,.444,5,14,.357,17,26,.654,10,18,28,12,3,3,12,19,64,False,344,Indiana
12,School Totals,200,21,57,.368,19,44,.432,2,13,.154,13,18,.722,8,18,26,14,11,3,13,15,57,False,345,Indiana
12,School Totals,225,32,68,.471,27,43,.628,5,25,.200,27,38,.711,16,34,50,14,5,6,14,14,96,False,346,Indiana
13,School Totals,200,25,61,.410,20,44,.455,5,17,.294,7,12,.583,10,26,36,14,5,4,11,13,62,False,347,Indiana
11,School Totals,200,25,59,.424,20,38,.526,5,21,.238,9,18,.500,11,28,39,12,4,3,14,17,64,False,348,Indiana
12,School Totals,200,22,61,.361,18,43,.419,4,18,.222,11,18,.611,13,25,38,7,3,6,14,21,59,False,349,Indiana
12,School Totals,200,20,54,.370,17,40,.425,3,14,.214,23,30,.767,14,25,39,11,9,4,14,13,66,False,350,Indiana
11,School Totals,200,20,49,.408,14,37,.378,6,12,.500,20,36,.556,4,27,31,10,11,4,10,19,66,False,351,Indiana
12,School Totals,200,19,60,.317,17,41,.415,2,19,.105,10,12,.833,10,25,35,6,4,2,14,17,50,False,352,Indiana
11,School Totals,200,31,61,.508,23,35,.657,8,26,.308,12,20,.600,8,34,42,21,2,8,15,17,82,False,353,Indiana
11,School Totals,200,26,57,.456,22,45,.489,4,12,.333,11,20,.550,7,20,27,12,6,2,8,15,67,False,354,Indiana
11,School Totals,200,30,57,.526,21,38,.553,9,19,.474,7,10,.700,9,23,32,22,0,2,6,17,76,False,355,Indiana
10,School Totals,200,19,57,.333,17,46,.370,2,11,.182,9,10,.900,7,33,40,9,3,3,16,17,49,False,356,Indiana
10,School Totals,200,19,42,.452,12,30,.400,7,12,.583,14,18,.778,4,18,22,10,4,5,12,12,59,False,357,Indiana
11,School Totals,200,22,51,.431,15,30,.500,7,21,.333,11,14,.786,7,20,27,15,2,5,14,22,62,False,358,Indiana
11,School Totals,200,28,61,.459,17,40,.425,11,21,.524,22,32,.688,13,23,36,16,11,5,16,20,89,False,359,Indiana
12,School Totals,200,28,61,.459,25,49,.510,3,12,.250,6,12,.500,7,14,21,7,1,3,7,18,65,False,360,Indiana
11,School Totals,200,24,54,.444,20,40,.500,4,14,.286,16,22,.727,7,31,38,15,4,5,9,18,68,False,361,Indiana
11,School Totals,200,23,54,.426,18,40,.450,5,14,.357,17,27,.630,8,26,34,7,10,2,12,22,68,False,362,Indiana
11,School Totals,200,15,59,.254,10,35,.286,5,24,.208,14,21,.667,15,18,33,6,7,4,12,18,49,False,363,Indiana
11,School Totals,200,24,59,.407,16,43,.372,8,16,.500,10,12,.833,10,24,34,12,4,5,10,19,66,False,364,Indiana
11,School Totals,200,30,59,.508,27,44,.614,3,15,.200,9,17,.529,7,26,33,14,7,1,10,12,72,False,365,Indiana
11,School Totals,199,20,58,.345,14,43,.326,6,15,.400,10,15,.667,11,24,35,9,6,1,7,13,56,False,366,Indiana
13,School Totals,200,35,66,.530,26,44,.591,9,22,.409,10,17,.588,8,39,47,23,4,12,10,17,89,False,367,Indiana
13,School Totals,200,37,65,.569,32,46,.696,5,19,.263,10,22,.455,9,23,32,22,9,4,8,11,89,False,368,Indiana
10,School Totals,200,28,62,.452,23,48,.479,5,14,.357,18,24,.750,14,25,39,16,7,4,8,22,79,False,369,Indiana
11,School Totals,200,11,46,.239,9,36,.250,2,10,.200,20,29,.690,6,23,29,6,2,4,13,17,44,False,370,Indiana
9,School Totals,200,27,51,.529,22,36,.611,5,15,.333,20,25,.800,5,27,32,20,2,8,13,19,79,False,371,Indiana
9,School Totals,225,21,57,.368,17,42,.405,4,15,.267,21,28,.750,13,27,40,10,4,3,14,17,67,False,372,Indiana
14,School Totals,200,28,56,.500,15,23,.652,13,33,.394,18,31,.581,5,39,44,17,10,7,17,20,87,False,373,Indiana
9,School Totals,200,25,47,.532,18,31,.581,7,16,.438,11,20,.550,3,25,28,19,6,8,14,17,68,False,374,Indiana
9,School Totals,200,25,52,.481,18,34,.529,7,18,.389,10,16,.625,8,18,26,11,7,2,16,14,67,False,375,Indiana
11,School Totals,200,23,58,.397,16,40,.400,7,18,.389,7,9,.778,2,24,26,9,6,4,7,15,60,False,376,Indiana
10,School Totals,225,32,56,.571,26,37,.703,6,19,.316,17,21,.810,4,21,25,15,5,8,12,18,87,False,377,Indiana
11,School Totals,200,22,59,.373,18,37,.486,4,22,.182,15,18,.833,10,27,37,10,4,3,9,13,63,False,378,Indiana
10,School Totals,250,30,62,.484,22,41,.537,8,21,.381,5,8,.625,1,30,31,19,2,7,13,19,73,False,379,Indiana
10,School Totals,200,30,65,.462,21,41,.512,9,24,.375,15,25,.600,12,27,39,14,4,3,6,14,84,False,380,Indiana
10,School Totals,200,25,57,.439,22,39,.564,3,18,.167,16,29,.552,8,22,30,14,8,2,8,27,69,False,381,Indiana
10,School Totals,200,26,53,.491,18,36,.500,8,17,.471,21,35,.600,7,21,28,15,6,4,8,20,81,False,382,Indiana
10,School Totals,200,24,56,.429,14,40,.350,10,16,.625,12,17,.706,5,20,25,14,6,2,11,13,70,False,383,Indiana
10,School Totals,225,22,54,.407,18,46,.391,4,8,.500,23,34,.676,9,25,34,12,6,4,13,28,71,False,384,Indiana
10,School Totals,200,23,64,.359,17,41,.415,6,23,.261,15,24,.625,12,27,39,15,8,5,9,19,67,False,385,Indiana
11,School Totals,250,22,62,.355,14,38,.368,8,24,.333,27,38,.711,11,29,40,17,9,2,13,18,79,False,386,Indiana
11,School Totals,200,21,50,.420,16,35,.457,5,15,.333,12,22,.545,11,14,25,13,3,0,14,20,59,False,387,Indiana
10,School Totals,200,26,45,.578,19,33,.576,7,12,.583,23,30,.767,9,22,31,15,2,1,16,23,82,False,388,Indiana
