,Player,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Starter,game_id,TEAM
12,School Totals,224,21,53,.396,16,37,.432,5,16,.313,17,25,.680,11,23,34,15,5,5,11,16,64,False,1220,Michigan State
12,School Totals,225,20,52,.385,13,33,.394,7,19,.368,24,28,.857,8,26,34,15,6,6,15,19,71,False,1221,Michigan State
12,School Totals,200,24,64,.375,17,38,.447,7,26,.269,7,9,.778,17,17,34,12,4,2,9,22,62,False,1222,Michigan State
12,School Totals,200,28,63,.444,18,43,.419,10,20,.500,10,13,.769,14,14,28,18,7,4,11,24,76,False,1223,Michigan State
11,School Totals,200,21,48,.438,16,29,.552,5,19,.263,10,16,.625,6,21,27,11,8,6,12,16,57,False,833,Michigan State
11,School Totals,225,28,66,.424,20,43,.465,8,23,.348,20,27,.741,12,24,36,18,7,6,8,18,84,False,52,Michigan State
11,School Totals,200,19,56,.339,15,38,.395,4,18,.222,10,14,.714,13,14,27,11,5,2,16,14,52,False,1224,Michigan State
11,School Totals,200,20,46,.435,17,32,.531,3,14,.214,13,16,.813,6,11,17,9,3,0,7,20,56,False,1225,Michigan State
11,School Totals,200,22,42,.524,17,29,.586,5,13,.385,26,35,.743,10,22,32,15,3,5,11,17,75,False,1226,Michigan State
11,School Totals,200,27,47,.574,25,42,.595,2,5,.400,5,6,.833,7,22,29,12,3,4,19,26,61,False,1227,Michigan State
11,School Totals,200,21,50,.420,18,35,.514,3,15,.200,16,23,.696,11,26,37,12,3,6,11,12,61,False,1228,Michigan State
11,School Totals,200,18,49,.367,12,25,.480,6,24,.250,11,15,.733,5,23,28,13,11,5,12,19,53,False,1229,Michigan State
11,School Totals,200,19,57,.333,18,46,.391,1,11,.091,8,11,.727,8,24,32,11,5,6,12,14,47,False,1230,Michigan State
15,School Totals,200,30,55,.545,23,41,.561,7,14,.500,18,27,.667,7,26,33,20,5,3,12,23,85,False,1231,Michigan State
11,School Totals,200,20,61,.328,12,39,.308,8,22,.364,15,20,.750,15,29,44,11,3,4,10,22,63,False,842,Michigan State
11,School Totals,200,22,54,.407,18,40,.450,4,14,.286,18,23,.783,15,22,37,12,9,5,15,14,66,False,1232,Michigan State
12,School Totals,200,21,49,.429,14,36,.389,7,13,.538,25,31,.806,8,31,39,13,2,8,8,19,74,False,1233,Michigan State
11,School Totals,200,17,53,.321,9,30,.300,8,23,.348,6,12,.500,8,20,28,12,3,4,9,18,48,False,1234,Michigan State
11,School Totals,200,25,62,.403,15,37,.405,10,25,.400,16,21,.762,11,22,33,20,9,8,16,28,76,False,1235,Michigan State
11,School Totals,200,22,72,.306,20,52,.385,2,20,.100,9,13,.692,19,23,42,8,7,3,15,25,55,False,1236,Michigan State
12,School Totals,200,26,59,.441,22,47,.468,4,12,.333,13,18,.722,9,22,31,8,8,4,21,29,69,False,1237,Michigan State
15,School Totals,200,29,61,.475,20,34,.588,9,27,.333,9,16,.563,13,37,50,22,10,3,18,18,76,False,1238,Michigan State
13,School Totals,200,20,47,.426,16,26,.615,4,21,.190,25,41,.610,7,31,38,15,14,5,16,16,69,False,1239,Michigan State
13,School Totals,200,21,48,.438,17,35,.486,4,13,.308,22,36,.611,10,28,38,14,7,3,16,19,68,False,1240,Michigan State
14,School Totals,200,28,58,.483,26,46,.565,2,12,.167,14,20,.700,12,33,45,14,11,6,16,14,72,False,1241,Michigan State
12,School Totals,200,21,52,.404,13,33,.394,8,19,.421,15,20,.750,11,20,31,11,10,8,12,11,65,False,1242,Michigan State
17,School Totals,200,46,75,.613,38,59,.644,8,16,.500,10,11,.909,16,37,53,35,6,5,10,20,110,False,1243,Michigan State
17,School Totals,200,33,64,.516,25,43,.581,8,21,.381,15,20,.750,19,23,42,25,5,7,12,17,89,False,1244,Michigan State
12,School Totals,200,26,48,.542,20,35,.571,6,13,.462,16,25,.640,5,15,20,18,10,3,15,20,74,False,1245,Michigan State
14,School Totals,200,25,53,.472,20,42,.476,5,11,.455,19,27,.704,11,23,34,16,6,5,15,16,74,False,1246,Michigan State
17,School Totals,200,35,57,.614,27,43,.628,8,14,.571,11,22,.500,8,24,32,25,8,7,10,16,89,False,1247,Michigan State
11,School Totals,200,27,67,.403,23,56,.411,4,11,.364,32,39,.821,22,26,48,16,9,7,12,22,90,False,1248,Michigan State
10,School Totals,200,29,53,.547,24,40,.600,5,13,.385,17,22,.773,8,23,31,14,9,6,9,14,80,False,75,Michigan State
11,School Totals,200,23,50,.460,20,36,.556,3,14,.214,19,21,.905,9,24,33,10,4,4,13,15,68,False,1249,Michigan State
11,School Totals,225,24,60,.400,22,55,.400,2,5,.400,13,20,.650,12,26,38,10,4,5,8,22,63,False,1250,Michigan State
16,School Totals,200,37,60,.617,27,42,.643,10,18,.556,11,15,.733,10,24,34,25,16,3,15,17,95,False,1251,Michigan State
12,School Totals,200,24,52,.462,15,34,.441,9,18,.500,17,27,.630,14,22,36,19,6,4,13,25,74,False,1252,Michigan State
10,School Totals,200,24,50,.480,17,35,.486,7,15,.467,4,5,.800,9,22,31,13,5,1,14,12,59,False,864,Michigan State
17,School Totals,200,30,50,.600,23,37,.622,7,13,.538,16,22,.727,5,27,32,18,6,5,11,19,83,False,1253,Michigan State
15,School Totals,200,26,48,.542,24,37,.649,2,11,.182,14,23,.609,7,25,32,17,10,8,10,17,68,False,1254,Michigan State
11,School Totals,200,14,58,.241,11,44,.250,3,14,.214,10,12,.833,18,25,43,4,3,3,15,18,41,False,1255,Michigan State
12,School Totals,200,24,46,.522,22,36,.611,2,10,.200,14,20,.700,12,27,39,15,7,1,15,14,64,False,868,Michigan State
14,School Totals,200,23,53,.434,15,32,.469,8,21,.381,23,34,.676,14,27,41,16,9,3,13,18,77,False,1256,Michigan State
11,School Totals,200,21,52,.404,17,36,.472,4,16,.250,12,16,.750,10,25,35,8,5,4,16,17,58,False,1257,Michigan State
16,School Totals,200,24,46,.522,22,37,.595,2,9,.222,19,25,.760,6,21,27,13,5,0,10,17,69,False,1258,Michigan State
13,School Totals,200,30,59,.508,25,46,.543,5,13,.385,11,17,.647,10,28,38,16,3,5,8,17,76,False,1259,Michigan State
10,School Totals,200,22,53,.415,17,33,.515,5,20,.250,17,23,.739,7,15,22,15,9,2,5,14,66,False,1260,Michigan State
16,School Totals,200,23,41,.561,14,21,.667,9,20,.450,7,9,.778,3,29,32,14,9,2,16,12,62,False,1261,Michigan State
12,School Totals,200,20,51,.392,15,38,.395,5,13,.385,10,17,.588,12,16,28,9,5,1,13,16,55,False,92,Michigan State
11,School Totals,200,25,55,.455,20,41,.488,5,14,.357,15,21,.714,5,27,32,13,7,8,13,21,70,False,1262,Michigan State
16,School Totals,200,32,55,.582,24,37,.649,8,18,.444,20,27,.741,9,26,35,17,6,8,11,20,92,False,1263,Michigan State
11,School Totals,200,21,42,.500,15,33,.455,6,9,.667,17,23,.739,6,23,29,12,7,5,12,14,65,False,1264,Michigan State
9,School Totals,200,26,54,.481,17,33,.515,9,21,.429,7,14,.500,7,20,27,16,3,5,6,14,68,False,1265,Michigan State
15,School Totals,200,40,68,.588,37,59,.627,3,9,.333,6,9,.667,15,27,42,21,6,0,11,17,89,False,1266,Michigan State
10,School Totals,200,25,46,.543,21,36,.583,4,10,.400,11,17,.647,4,25,29,12,2,1,11,19,65,False,1267,Michigan State
12,School Totals,200,14,49,.286,9,28,.321,5,21,.238,11,12,.917,6,26,32,12,8,7,15,15,44,False,1268,Michigan State
11,School Totals,200,24,64,.375,20,47,.426,4,17,.235,10,13,.769,17,21,38,9,9,3,15,15,62,False,1269,Michigan State
10,School Totals,200,25,48,.521,21,38,.553,4,10,.400,13,17,.765,9,18,27,11,8,6,15,18,67,False,1270,Michigan State
13,School Totals,200,28,60,.467,26,47,.553,2,13,.154,11,15,.733,9,33,42,11,12,7,12,13,69,False,1271,Michigan State
11,School Totals,200,26,45,.578,20,26,.769,6,19,.316,16,25,.640,5,21,26,16,10,2,15,20,74,False,1272,Michigan State
12,School Totals,200,26,49,.531,23,38,.605,3,11,.273,15,18,.833,10,31,41,15,6,4,20,16,70,False,1273,Michigan State
10,School Totals,200,20,47,.426,15,31,.484,5,16,.313,18,25,.720,10,23,33,12,9,7,20,17,63,False,1274,Michigan State
12,School Totals,200,24,59,.407,18,45,.400,6,14,.429,5,11,.455,12,21,33,11,4,3,11,16,59,False,1275,Michigan State
14,School Totals,200,33,55,.600,28,45,.622,5,10,.500,13,23,.565,9,31,40,20,11,7,8,12,84,False,1276,Michigan State
14,School Totals,200,28,56,.500,21,31,.677,7,25,.280,13,20,.650,18,24,42,21,14,5,18,19,76,False,1277,Michigan State
12,School Totals,200,22,45,.489,15,29,.517,7,16,.438,22,28,.786,8,24,32,14,4,5,12,16,73,False,1278,Michigan State
14,School Totals,200,30,67,.448,25,49,.510,5,18,.278,27,32,.844,16,44,60,19,9,4,22,13,92,False,1279,Michigan State
10,School Totals,200,26,54,.481,23,45,.511,3,9,.333,9,12,.750,8,28,36,10,6,5,14,19,64,False,1280,Michigan State
12,School Totals,200,21,47,.447,19,36,.528,2,11,.182,23,30,.767,7,25,32,13,10,2,16,20,67,False,1281,Michigan State
10,School Totals,200,28,63,.444,23,52,.442,5,11,.455,2,10,.200,10,14,24,18,10,3,13,21,63,False,1282,Michigan State
13,School Totals,200,29,64,.453,21,49,.429,8,15,.533,18,22,.818,11,30,41,21,8,3,12,20,84,False,1283,Michigan State
10,School Totals,200,23,57,.404,20,46,.435,3,11,.273,13,21,.619,9,24,33,13,12,3,12,17,62,False,1284,Michigan State
10,School Totals,200,22,48,.458,18,35,.514,4,13,.308,18,28,.643,7,26,33,14,8,5,11,8,66,False,1285,Michigan State
11,School Totals,200,26,55,.473,19,38,.500,7,17,.412,22,30,.733,7,22,29,17,5,3,7,18,81,False,1286,Michigan State
9,School Totals,200,22,50,.440,19,37,.514,3,13,.231,12,14,.857,7,22,29,7,9,0,13,14,59,False,1287,Michigan State
11,School Totals,200,18,47,.383,14,38,.368,4,9,.444,9,12,.750,7,25,32,7,6,3,10,15,49,False,1288,Michigan State
10,School Totals,200,27,60,.450,16,37,.432,11,23,.478,5,6,.833,11,19,30,16,11,1,18,18,70,False,118,Michigan State
11,School Totals,200,25,42,.595,19,28,.679,6,14,.429,24,34,.706,7,22,29,15,4,3,14,15,80,False,1289,Michigan State
10,School Totals,200,20,46,.435,11,28,.393,9,18,.500,12,20,.600,5,22,27,12,9,3,5,14,61,False,1290,Michigan State
13,School Totals,200,27,55,.491,23,43,.535,4,12,.333,20,24,.833,8,18,26,9,13,1,9,24,78,False,1291,Michigan State
14,School Totals,200,30,62,.484,23,42,.548,7,20,.350,8,17,.471,14,26,40,18,9,3,8,14,75,False,902,Michigan State
10,School Totals,200,23,45,.511,19,32,.594,4,13,.308,23,29,.793,11,30,41,8,3,12,13,13,73,False,1292,Michigan State
10,School Totals,200,24,56,.429,20,41,.488,4,15,.267,16,23,.696,10,21,31,12,7,7,11,15,68,False,125,Michigan State
10,School Totals,200,21,46,.457,19,35,.543,2,11,.182,16,22,.727,8,23,31,12,6,1,14,18,60,False,1293,Michigan State
10,School Totals,200,21,59,.356,15,37,.405,6,22,.273,9,12,.750,17,24,41,9,3,2,18,15,57,False,906,Michigan State
16,School Totals,200,24,65,.369,21,50,.420,3,15,.200,7,9,.778,14,25,39,12,16,1,10,16,58,False,1294,Michigan State
11,School Totals,200,25,38,.658,19,28,.679,6,10,.600,15,20,.750,4,18,22,17,4,2,12,9,71,False,1295,Michigan State
10,School Totals,200,22,57,.386,19,42,.452,3,15,.200,12,16,.750,14,14,28,9,9,5,13,13,59,False,1296,Michigan State
10,School Totals,200,20,50,.400,14,36,.389,6,14,.429,12,15,.800,10,25,35,10,3,5,12,14,58,False,1297,Michigan State
13,School Totals,199,26,58,.448,20,43,.465,6,15,.400,7,11,.636,17,27,44,16,6,3,17,16,65,False,1298,Michigan State
14,School Totals,200,26,52,.500,22,36,.611,4,16,.250,14,22,.636,10,31,41,14,10,7,18,14,70,False,1299,Michigan State
10,School Totals,200,20,50,.400,17,38,.447,3,12,.250,18,24,.750,8,25,33,6,6,4,10,24,61,False,1300,Michigan State
16,School Totals,200,42,81,.519,32,55,.582,10,26,.385,4,5,.800,16,48,64,32,4,4,15,12,98,False,1301,Michigan State
10,School Totals,200,30,63,.476,25,51,.490,5,12,.417,13,17,.765,7,21,28,17,13,3,7,27,78,False,1302,Michigan State
11,School Totals,200,20,44,.455,20,37,.541,0,7,.000,22,30,.733,5,22,27,16,5,4,11,14,62,False,1303,Michigan State
12,School Totals,200,29,67,.433,16,37,.432,13,30,.433,11,13,.846,12,23,35,21,7,2,10,15,82,False,1304,Michigan State
16,School Totals,200,36,71,.507,22,36,.611,14,35,.400,10,13,.769,9,24,33,26,13,6,6,16,96,False,1305,Michigan State
11,School Totals,200,29,58,.500,23,39,.590,6,19,.316,23,36,.639,8,31,39,14,4,6,13,23,87,False,1306,Michigan State
16,School Totals,200,41,65,.631,32,47,.681,9,18,.500,7,9,.778,4,35,39,28,6,3,9,9,98,False,1307,Michigan State
12,School Totals,200,23,64,.359,16,40,.400,7,24,.292,12,18,.667,12,24,36,12,6,7,14,19,65,False,1308,Michigan State
10,School Totals,200,24,57,.421,18,41,.439,6,16,.375,13,19,.684,12,25,37,14,11,5,17,14,67,False,1309,Michigan State
13,School Totals,200,27,51,.529,23,39,.590,4,12,.333,20,38,.526,9,27,36,15,10,3,10,19,78,False,1310,Michigan State
11,School Totals,200,29,58,.500,22,36,.611,7,22,.318,27,33,.818,11,30,41,14,4,3,13,25,92,False,1311,Michigan State
15,School Totals,200,36,66,.545,23,41,.561,13,25,.520,16,24,.667,18,32,50,25,9,6,10,15,101,False,1312,Michigan State
11,School Totals,200,29,66,.439,19,46,.413,10,20,.500,11,13,.846,12,28,40,16,5,6,11,17,79,False,1313,Michigan State
13,School Totals,200,28,59,.475,18,35,.514,10,24,.417,7,11,.636,9,23,32,14,12,9,11,21,73,False,149,Michigan State
11,School Totals,225,26,57,.456,15,38,.395,11,19,.579,9,14,.643,7,21,28,16,9,5,15,18,72,False,1314,Michigan State
11,School Totals,225,24,59,.407,17,38,.447,7,21,.333,32,40,.800,12,29,41,16,10,10,7,17,87,False,1315,Michigan State
11,School Totals,200,20,52,.385,18,36,.500,2,16,.125,12,20,.600,12,25,37,13,7,5,6,16,54,False,1316,Michigan State
11,School Totals,200,29,52,.558,23,37,.622,6,15,.400,14,22,.636,8,29,37,15,5,7,12,16,78,False,1317,Michigan State
12,School Totals,200,23,51,.451,17,33,.515,6,18,.333,19,28,.679,7,18,25,14,12,6,13,22,71,False,153,Michigan State
12,School Totals,200,26,56,.464,19,39,.487,7,17,.412,16,23,.696,10,18,28,18,8,5,5,22,75,False,934,Michigan State
11,School Totals,225,25,59,.424,15,30,.500,10,29,.345,11,20,.550,10,26,36,12,5,5,9,29,71,False,1318,Michigan State
11,School Totals,200,21,53,.396,12,24,.500,9,29,.310,9,16,.563,9,15,24,13,7,4,15,21,60,False,1319,Michigan State
15,School Totals,200,28,60,.467,16,37,.432,12,23,.522,14,18,.778,12,27,39,22,7,6,10,22,82,False,1320,Michigan State
11,School Totals,200,24,60,.400,19,41,.463,5,19,.263,5,9,.556,8,21,29,9,6,2,11,17,58,False,1321,Michigan State
15,School Totals,200,32,60,.533,21,39,.538,11,21,.524,10,14,.714,13,24,37,22,5,1,5,18,85,False,1322,Michigan State
12,School Totals,199,17,50,.340,12,26,.462,5,24,.208,12,14,.857,8,29,37,12,2,2,11,19,51,False,1323,Michigan State
16,School Totals,200,30,52,.577,13,20,.650,17,32,.531,17,22,.773,6,20,26,26,8,5,11,29,94,False,1324,Michigan State
11,School Totals,200,26,48,.542,17,25,.680,9,23,.391,9,15,.600,7,21,28,13,1,2,13,23,70,False,940,Michigan State
11,School Totals,200,18,46,.391,12,28,.429,6,18,.333,4,11,.364,12,21,33,12,8,3,16,13,46,False,1325,Michigan State
16,School Totals,200,28,48,.583,18,31,.581,10,17,.588,20,26,.769,6,20,26,20,9,7,15,20,86,False,1326,Michigan State
12,School Totals,200,24,55,.436,14,35,.400,10,20,.500,9,10,.900,8,20,28,17,1,4,15,22,67,False,1327,Michigan State
16,School Totals,200,27,60,.450,19,41,.463,8,19,.421,5,10,.500,16,23,39,15,4,8,10,11,67,False,1328,Michigan State
11,School Totals,200,29,51,.569,22,38,.579,7,13,.538,18,28,.643,9,18,27,15,6,4,8,22,83,False,1329,Michigan State
16,School Totals,200,27,54,.500,25,37,.676,2,17,.118,13,16,.813,13,24,37,14,7,6,10,19,69,False,946,Michigan State
16,School Totals,200,30,56,.536,20,37,.541,10,19,.526,23,25,.920,9,29,38,16,4,2,14,27,93,False,1330,Michigan State
11,School Totals,200,28,57,.491,21,36,.583,7,21,.333,17,22,.773,9,21,30,17,9,1,11,20,80,False,1331,Michigan State
12,School Totals,200,21,47,.447,16,33,.485,5,14,.357,14,18,.778,6,23,29,13,5,4,9,16,61,False,1332,Michigan State
10,School Totals,200,18,46,.391,7,17,.412,11,29,.379,7,8,.875,4,24,28,13,5,3,16,16,54,False,1333,Michigan State
11,School Totals,200,25,53,.472,17,34,.500,8,19,.421,6,10,.600,8,28,36,18,6,4,14,13,64,False,1334,Michigan State
10,School Totals,200,30,60,.500,25,40,.625,5,20,.250,6,10,.600,12,21,33,15,2,0,13,22,71,False,1335,Michigan State
12,School Totals,200,36,57,.632,27,39,.692,9,18,.500,6,13,.462,7,31,38,27,6,5,14,13,87,False,1336,Michigan State
11,School Totals,200,29,66,.439,17,36,.472,12,30,.400,9,17,.529,19,31,50,22,4,10,12,15,79,False,1337,Michigan State
12,School Totals,200,27,55,.491,15,30,.500,12,25,.480,11,15,.733,9,32,41,16,4,3,14,20,77,False,1338,Michigan State
10,School Totals,200,26,45,.578,14,22,.636,12,23,.522,15,18,.833,3,22,25,14,7,6,16,18,79,False,1339,Michigan State
11,School Totals,200,19,59,.322,13,42,.310,6,17,.353,12,17,.706,9,26,35,5,5,4,7,22,56,False,1340,Michigan State
11,School Totals,225,32,65,.492,23,48,.479,9,17,.529,5,9,.556,15,23,38,16,2,5,12,22,78,False,1341,Michigan State
13,School Totals,200,30,50,.600,20,32,.625,10,18,.556,15,27,.556,10,29,39,27,8,5,18,14,85,False,1342,Michigan State
13,School Totals,200,34,61,.557,24,44,.545,10,17,.588,9,19,.474,9,28,37,25,10,1,8,18,87,False,1343,Michigan State
13,School Totals,200,20,53,.377,13,32,.406,7,21,.333,19,25,.760,11,33,44,17,4,5,12,19,66,False,1344,Michigan State
11,School Totals,225,24,61,.393,20,40,.500,4,21,.190,12,21,.571,17,21,38,13,5,3,13,22,64,False,1345,Michigan State
12,School Totals,200,32,53,.604,28,42,.667,4,11,.364,14,19,.737,8,24,32,23,8,2,10,15,82,False,1346,Michigan State
11,School Totals,250,21,65,.323,16,43,.372,5,22,.227,19,28,.679,8,27,35,15,11,5,12,27,66,False,575,Michigan State
14,School Totals,200,28,60,.467,23,45,.511,5,15,.333,9,16,.563,15,31,46,21,5,7,11,15,70,False,181,Michigan State
12,School Totals,200,27,53,.509,15,36,.417,12,17,.706,9,12,.750,7,25,32,19,5,3,10,21,75,False,1347,Michigan State
11,School Totals,225,31,62,.500,28,51,.549,3,11,.273,19,26,.731,11,19,30,18,6,1,7,14,84,False,1348,Michigan State
14,School Totals,200,26,58,.448,23,41,.561,3,17,.176,4,13,.308,13,20,33,13,4,8,12,21,59,False,580,Michigan State
11,School Totals,200,23,54,.426,19,41,.463,4,13,.308,16,25,.640,15,23,38,16,5,5,13,20,66,False,1349,Michigan State
12,School Totals,200,27,66,.409,19,43,.442,8,23,.348,15,25,.600,21,24,45,12,8,0,14,27,77,False,1350,Michigan State
13,School Totals,200,27,53,.509,19,33,.576,8,20,.400,9,14,.643,7,34,41,14,6,7,17,18,71,False,1351,Michigan State
10,School Totals,225,27,58,.466,19,36,.528,8,22,.364,14,22,.636,12,29,41,19,10,7,12,13,76,False,972,Michigan State
10,School Totals,200,20,52,.385,13,32,.406,7,20,.350,7,18,.389,8,24,32,13,4,4,9,14,54,False,1352,Michigan State
13,School Totals,200,23,50,.460,10,25,.400,13,25,.520,9,13,.692,10,19,29,19,6,7,11,13,68,False,1353,Michigan State
10,School Totals,200,24,50,.480,17,35,.486,7,15,.467,4,7,.571,5,23,28,19,4,8,10,14,59,False,1354,Michigan State
13,School Totals,200,31,50,.620,25,32,.781,6,18,.333,12,17,.706,9,23,32,17,1,3,8,18,80,False,975,Michigan State
11,School Totals,200,20,47,.426,17,32,.531,3,15,.200,17,20,.850,4,28,32,8,2,3,10,24,60,False,1355,Michigan State
10,School Totals,225,29,63,.460,16,31,.516,13,32,.406,19,29,.655,11,22,33,24,4,6,12,29,90,False,1356,Michigan State
11,School Totals,200,24,53,.453,15,36,.417,9,17,.529,4,9,.444,6,17,23,14,3,4,7,17,61,False,1357,Michigan State
12,School Totals,200,23,52,.442,14,29,.483,9,23,.391,17,29,.586,10,20,30,12,8,7,7,16,72,False,1358,Michigan State
11,School Totals,200,28,64,.438,21,36,.583,7,28,.250,11,20,.550,12,23,35,17,4,3,8,21,74,False,197,Michigan State
11,School Totals,200,29,61,.475,22,40,.550,7,21,.333,11,18,.611,10,24,34,23,6,8,7,20,76,False,1359,Michigan State
11,School Totals,200,22,50,.440,17,32,.531,5,18,.278,13,20,.650,12,16,28,15,5,4,11,18,62,False,591,Michigan State
11,School Totals,225,27,53,.509,21,39,.538,6,14,.429,9,9,1.000,6,23,29,16,3,2,13,17,69,False,1360,Michigan State
11,School Totals,200,26,57,.456,19,39,.487,7,18,.389,11,19,.579,5,28,33,18,8,3,9,22,70,False,1361,Michigan State
10,School Totals,200,17,40,.425,11,28,.393,6,12,.500,20,33,.606,7,23,30,7,4,7,6,19,60,False,1362,Michigan State
11,School Totals,200,22,57,.386,13,30,.433,9,27,.333,9,16,.563,14,20,34,9,1,1,5,16,62,False,1363,Michigan State
10,School Totals,225,26,60,.433,17,37,.459,9,23,.391,15,20,.750,7,28,35,20,5,7,10,22,76,False,1364,Michigan State
13,School Totals,200,22,55,.400,15,35,.429,7,20,.350,10,16,.625,8,23,31,10,4,3,14,28,61,False,1365,Michigan State
14,School Totals,200,30,62,.484,25,49,.510,5,13,.385,17,28,.607,17,33,50,25,1,12,13,14,82,False,1366,Michigan State
13,School Totals,200,28,60,.467,19,39,.487,9,21,.429,14,16,.875,9,28,37,20,1,8,15,25,79,False,1367,Michigan State
15,School Totals,200,33,57,.579,24,31,.774,9,26,.346,17,26,.654,17,27,44,26,11,5,13,13,92,False,1368,Michigan State
15,School Totals,200,31,64,.484,22,44,.500,9,20,.450,18,24,.750,15,40,55,26,2,8,13,22,89,False,1369,Michigan State
15,School Totals,200,37,59,.627,26,38,.684,11,21,.524,14,20,.700,7,27,34,28,3,3,7,16,99,False,1370,Michigan State
14,School Totals,200,25,55,.455,15,32,.469,10,23,.435,17,19,.895,5,27,32,23,3,3,10,23,77,False,1371,Michigan State
12,School Totals,200,26,55,.473,19,33,.576,7,22,.318,18,26,.692,8,23,31,18,6,0,8,18,77,False,1372,Michigan State
12,School Totals,200,23,54,.426,14,31,.452,9,23,.391,16,22,.727,15,23,38,17,7,8,17,14,71,False,1373,Michigan State
15,School Totals,200,30,64,.469,23,38,.605,7,26,.269,9,14,.643,12,41,53,24,5,5,9,15,76,False,1374,Michigan State
15,School Totals,200,27,54,.500,15,32,.469,12,22,.545,12,15,.800,9,36,45,25,5,10,15,9,78,False,1375,Michigan State
13,School Totals,200,21,57,.368,16,32,.500,5,25,.200,11,15,.733,15,27,42,18,6,6,12,18,58,False,1376,Michigan State
16,School Totals,200,33,59,.559,27,46,.587,6,13,.462,6,10,.600,6,24,30,21,8,4,12,21,78,False,1377,Michigan State
13,School Totals,225,30,60,.500,20,43,.465,10,17,.588,29,42,.690,10,28,38,17,1,3,14,31,99,False,1378,Michigan State
15,School Totals,200,27,64,.422,24,51,.471,3,13,.231,13,20,.650,17,21,38,11,7,5,15,27,70,False,1379,Michigan State
12,School Totals,200,24,49,.490,20,36,.556,4,13,.308,17,20,.850,9,32,41,16,0,7,10,21,69,False,1380,Michigan State
16,School Totals,200,33,62,.532,27,47,.574,6,15,.400,7,10,.700,10,36,46,26,3,8,11,17,79,False,1381,Michigan State
16,School Totals,200,35,70,.500,25,50,.500,10,20,.500,12,15,.800,9,27,36,17,7,1,6,25,92,False,1382,Michigan State
14,School Totals,200,23,55,.418,19,34,.559,4,21,.190,9,13,.692,6,27,33,14,3,4,16,19,59,False,1383,Michigan State
14,School Totals,200,28,59,.475,20,41,.488,8,18,.444,12,16,.750,13,17,30,11,3,1,9,28,76,False,1384,Michigan State
10,School Totals,200,24,57,.421,13,39,.333,11,18,.611,12,21,.571,11,24,35,19,2,4,10,15,71,False,1385,Michigan State
11,School Totals,200,22,61,.361,15,38,.395,7,23,.304,23,29,.793,16,28,44,17,6,5,8,17,74,False,613,Michigan State
15,School Totals,200,28,55,.509,12,29,.414,16,26,.615,4,4,1.000,7,33,40,22,5,8,13,21,76,False,1386,Michigan State
16,School Totals,200,33,70,.471,16,38,.421,17,32,.531,13,17,.765,17,37,54,28,5,7,11,15,96,False,1387,Michigan State
15,School Totals,200,32,50,.640,18,28,.643,14,22,.636,11,16,.688,7,28,35,18,4,1,19,20,89,False,1002,Michigan State
13,School Totals,225,29,76,.382,18,48,.375,11,28,.393,12,15,.800,15,22,37,24,5,5,8,26,81,False,1388,Michigan State
16,School Totals,200,34,59,.576,24,36,.667,10,23,.435,10,12,.833,6,29,35,27,4,10,11,17,88,False,226,Michigan State
15,School Totals,200,26,56,.464,18,39,.462,8,17,.471,9,13,.692,11,26,37,20,4,6,11,18,69,False,1389,Michigan State
15,School Totals,200,31,57,.544,17,35,.486,14,22,.636,5,7,.714,6,23,29,16,5,1,7,18,81,False,1390,Michigan State
15,School Totals,200,28,63,.444,18,41,.439,10,22,.455,22,33,.667,17,32,49,22,3,6,10,20,88,False,1391,Michigan State
15,School Totals,200,37,76,.487,21,45,.467,16,31,.516,7,12,.583,21,26,47,27,9,4,12,17,97,False,1392,Michigan State
15,School Totals,200,34,51,.667,26,35,.743,8,16,.500,15,20,.750,4,27,31,29,4,4,13,17,91,False,1393,Michigan State
15,School Totals,200,31,64,.484,23,41,.561,8,23,.348,11,14,.786,13,26,39,17,10,4,8,15,81,False,1394,Michigan State
11,School Totals,200,21,50,.420,13,31,.419,8,19,.421,14,15,.933,4,24,28,15,1,4,11,18,64,False,625,Michigan State
13,School Totals,200,25,60,.417,17,39,.436,8,21,.381,8,9,.889,11,29,40,15,1,5,9,19,66,False,1395,Michigan State
16,School Totals,200,30,54,.556,19,30,.633,11,24,.458,10,15,.667,8,22,30,20,6,2,14,22,81,False,1396,Michigan State
12,School Totals,200,25,58,.431,17,33,.515,8,25,.320,5,9,.556,10,18,28,15,4,1,17,23,63,False,1397,Michigan State
12,School Totals,200,20,61,.328,15,35,.429,5,26,.192,3,9,.333,12,29,41,9,0,4,19,20,48,False,1398,Michigan State
14,School Totals,200,39,59,.661,23,31,.742,16,28,.571,6,10,.600,12,30,42,33,6,4,14,15,100,False,1399,Michigan State
12,School Totals,200,25,49,.510,16,32,.500,9,17,.529,19,33,.576,6,23,29,21,3,8,12,18,78,False,1400,Michigan State
12,School Totals,200,25,58,.431,16,34,.471,9,24,.375,14,22,.636,6,40,46,16,1,4,13,19,73,False,1401,Michigan State
12,School Totals,200,22,51,.431,15,28,.536,7,23,.304,7,9,.778,3,24,27,17,3,6,12,14,58,False,1402,Michigan State
12,School Totals,200,26,52,.500,15,27,.556,11,25,.440,14,21,.667,7,27,34,20,2,6,14,25,77,False,1403,Michigan State
