,G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena,game_id,link
0,1,2009-11-13,2010,REG,Indiana,Howard,MEAC,83,60,True,,1,0,W 1,Assembly Hall,0,https://www.sports-reference.com/cbb/boxscores/2009-11-13-indiana.html
1,2,2009-11-16,2010,REG,Indiana,South Carolina Upstate,A-Sun,69,61,True,,2,0,W 2,Assembly Hall,1,https://www.sports-reference.com/cbb/boxscores/2009-11-16-indiana.html
2,3,2009-11-19,2010,REG,Indiana,Mississippi,SEC,71,89,False,,2,1,L 1,Jos̩ Miguel Agrelot Coliseum,2,https://www.sports-reference.com/cbb/boxscores/2009-11-19-indiana.html
3,4,2009-11-20,2010,REG,Indiana,Boston University,AEC,67,71,False,,2,2,L 2,Jos̩ Miguel Agrelot Coliseum,3,https://www.sports-reference.com/cbb/boxscores/2009-11-20-indiana.html
4,5,2009-11-22,2010,REG,Indiana,George Mason,CAA,66,69,False,,2,3,L 3,Jos̩ Miguel Agrelot Coliseum,4,https://www.sports-reference.com/cbb/boxscores/2009-11-22-indiana.html
5,6,2009-11-28,2010,REG,Indiana,Northwestern State,Southland,90,72,True,,3,3,W 1,Assembly Hall,5,https://www.sports-reference.com/cbb/boxscores/2009-11-28-indiana.html
6,7,2009-12-01,2010,REG,Indiana,Maryland,ACC,68,80,False,,3,4,L 1,Assembly Hall,6,https://www.sports-reference.com/cbb/boxscores/2009-12-01-indiana.html
7,8,2009-12-08,2010,REG,Indiana,Pittsburgh,Big East,74,64,True,,4,4,W 1,Madison Square Garden (IV),7,https://www.sports-reference.com/cbb/boxscores/2009-12-08-pittsburgh.html
8,9,2009-12-12,2010,REG,Indiana,Kentucky,SEC,73,90,False,,4,5,L 1,Assembly Hall,8,https://www.sports-reference.com/cbb/boxscores/2009-12-12-indiana.html
9,10,2009-12-19,2010,REG,Indiana,North Carolina Central,Ind,81,58,True,,5,5,W 1,Assembly Hall,9,https://www.sports-reference.com/cbb/boxscores/2009-12-19-indiana.html
10,11,2009-12-22,2010,REG,Indiana,Loyola (MD),MAAC,67,72,False,,5,6,L 1,Assembly Hall,10,https://www.sports-reference.com/cbb/boxscores/2009-12-22-indiana.html
11,12,2009-12-28,2010,REG,Indiana,Bryant,NEC,90,42,True,,6,6,W 1,Assembly Hall,11,https://www.sports-reference.com/cbb/boxscores/2009-12-28-indiana.html
12,13,2009-12-31,2010,REG,Indiana,Michigan,Big Ten,71,65,True,,7,6,W 2,Assembly Hall,12,https://www.sports-reference.com/cbb/boxscores/2009-12-31-indiana.html
